subscriber_id,phone_number,call_id,plan,data_usage,minutes,sms,date
111,+12345670111,1111,Unlimited,49751,146,52,2024-04-20
112,+12345670112,1112,Family,30819,1439,364,2024-04-21
113,+12345670113,1113,Premium,47450,1497,274,2024-04-22
114,+12345670114,1114,Business,30338,1489,405,2024-04-23
115,+12345670115,1115,Unlimited,22425,1857,472,2024-04-24
116,+12345670116,1116,Basic,5727,454,435,2024-04-25
117,+12345670117,1117,Basic,20617,1871,291,2024-04-26
118,+12345670118,1118,Premium,12410,1020,87,2024-04-27
119,+12345670119,1119,Premium,28201,852,128,2024-04-28
120,+12345670120,1120,Unlimited,45840,1570,491,2024-04-29
121,+12345670121,1121,Premium,27473,1142,48,2024-04-30
122,+12345670122,1122,Premium,13835,258,307,2024-05-01
123,+12345670123,1123,Unlimited,28849,765,166,2024-05-02
124,+12345670124,1124,Premium,29589,166,323,2024-05-03
125,+12345670125,1125,Unlimited,36698,1557,356,2024-05-04
126,+12345670126,1126,Business,2072,225,198,2024-05-05
127,+12345670127,1127,Premium,24656,1043,347,2024-05-06
128,+12345670128,1128,Premium,9206,1579,473,2024-05-07
129,+12345670129,1129,Premium,37947,1606,497,2024-05-08
130,+12345670130,1130,Basic,8511,677,394,2024-05-09
131,+12345670131,1131,Premium,20125,849,355,2024-05-10
132,+12345670132,1132,Unlimited,48452,933,68,2024-05-11
133,+12345670133,1133,Basic,734,347,170,2024-05-12
134,+12345670134,1134,Basic,32854,527,89,2024-05-13
135,+12345670135,1135,Premium,43278,434,325,2024-05-14
136,+12345670136,1136,Family,23343,1046,389,2024-05-15
137,+12345670137,1137,Basic,22370,101,452,2024-05-16
138,+12345670138,1138,Unlimited,14877,956,352,2024-05-17
139,+12345670139,1139,Premium,27569,64,162,2024-05-18
140,+12345670140,1140,Unlimited,27999,159,500,2024-05-19
141,+12345670141,1141,Family,45042,1318,435,2024-05-20
142,+12345670142,1142,Premium,49424,1432,341,2024-05-21
143,+12345670143,1143,Unlimited,26535,1393,246,2024-05-22
144,+12345670144,1144,Unlimited,45353,1545,34,2024-05-23
145,+12345670145,1145,Premium,35332,955,171,2024-05-24
146,+12345670146,1146,Business,19737,790,9,2024-05-25
147,+12345670147,1147,Business,21469,713,311,2024-05-26
148,+12345670148,1148,Family,38566,1537,466,2024-05-27
149,+12345670149,1149,Basic,1623,827,299,2024-05-28
150,+12345670150,1150,Basic,37296,1762,229,2024-05-29
151,+12345670151,1151,Premium,2210,408,195,2024-05-30
152,+12345670152,1152,Premium,9218,822,261,2024-05-31
153,+12345670153,1153,Premium,10172,87,327,2024-06-01
154,+12345670154,1154,Premium,21743,31,379,2024-06-02
155,+12345670155,1155,Business,37336,523,119,2024-06-03
156,+12345670156,1156,Family,41377,244,257,2024-06-04
157,+12345670157,1157,Unlimited,39618,1462,300,2024-06-05
158,+12345670158,1158,Unlimited,39935,1888,360,2024-06-06
159,+12345670159,1159,Business,37709,289,6,2024-06-07
160,+12345670160,1160,Family,25717,679,119,2024-06-08
161,+12345670161,1161,Premium,25090,1382,10,2024-06-09
162,+12345670162,1162,Basic,13482,1543,315,2024-06-10
163,+12345670163,1163,Business,25700,960,388,2024-06-11
164,+12345670164,1164,Business,4275,1002,459,2024-06-12
165,+12345670165,1165,Premium,35128,954,63,2024-06-13
166,+12345670166,1166,Business,25425,149,158,2024-06-14
167,+12345670167,1167,Unlimited,12442,179,121,2024-06-15
168,+12345670168,1168,Premium,31215,1133,377,2024-06-16
169,+12345670169,1169,Unlimited,7219,1355,219,2024-06-17
170,+12345670170,1170,Premium,21650,506,387,2024-06-18
171,+12345670171,1171,Basic,37423,1471,124,2024-06-19
172,+12345670172,1172,Unlimited,29691,1955,317,2024-06-20
173,+12345670173,1173,Premium,41977,906,40,2024-06-21
174,+12345670174,1174,Business,20065,297,30,2024-06-22
175,+12345670175,1175,Business,6210,974,70,2024-06-23
176,+12345670176,1176,Family,11334,1690,191,2024-06-24
177,+12345670177,1177,Premium,6936,581,255,2024-06-25
178,+12345670178,1178,Basic,44329,1733,151,2024-06-26
179,+12345670179,1179,Family,36335,340,103,2024-06-27
180,+12345670180,1180,Business,11741,359,77,2024-06-28
181,+12345670181,1181,Basic,2201,1727,192,2024-06-29
182,+12345670182,1182,Premium,45255,46,104,2024-06-30
183,+12345670183,1183,Business,39642,1253,328,2024-07-01
184,+12345670184,1184,Family,32121,215,19,2024-07-02
185,+12345670185,1185,Business,1858,372,121,2024-07-03
186,+12345670186,1186,Unlimited,12335,612,472,2024-07-04
187,+12345670187,1187,Family,13141,264,371,2024-07-05
188,+12345670188,1188,Business,4654,1104,306,2024-07-06
189,+12345670189,1189,Family,25389,1528,484,2024-07-07
190,+12345670190,1190,Premium,18700,810,227,2024-07-08
191,+12345670191,1191,Unlimited,13593,354,378,2024-07-09
192,+12345670192,1192,Unlimited,15372,168,449,2024-07-10
193,+12345670193,1193,Business,19177,1385,168,2024-07-11
194,+12345670194,1194,Family,43325,1573,68,2024-07-12
195,+12345670195,1195,Family,34466,32,142,2024-07-13
196,+12345670196,1196,Family,4686,1397,162,2024-07-14
197,+12345670197,1197,Unlimited,29896,569,329,2024-07-15
198,+12345670198,1198,Business,3865,324,402,2024-07-16
199,+12345670199,1199,Family,24259,912,389,2024-07-17
200,+12345670200,1200,Business,34082,743,20,2024-07-18
