account_id,account_number,transaction_id,loan_id,card,balance,amount,branch,date
52,ACC000052,1052,LN00052,Amex,722830,39882,Midtown,2024-02-21
53,ACC000053,1053,LN00053,Mastercard,396219,15785,Downtown,2024-02-22
54,ACC000054,1054,LN00054,Visa,375665,36916,Suburb,2024-02-23
55,ACC000055,1055,LN00055,Discover,759687,35768,Downtown,2024-02-24
56,ACC000056,1056,LN00056,Amex,141376,14029,Downtown,2024-02-25
57,ACC000057,1057,LN00057,Mastercard,262974,24590,Suburb,2024-02-26
58,ACC000058,1058,LN00058,Mastercard,942416,36070,Midtown,2024-02-27
59,ACC000059,1059,LN00059,Amex,41506,48806,Midtown,2024-02-28
60,ACC000060,1060,LN00060,Discover,508976,16661,Downtown,2024-02-29
61,ACC000061,1061,LN00061,Mastercard,741051,23603,Downtown,2024-03-01
62,ACC000062,1062,LN00062,Mastercard,458852,29658,Midtown,2024-03-02
63,ACC000063,1063,LN00063,Mastercard,586279,29337,Suburb,2024-03-03
64,ACC000064,1064,LN00064,Visa,309130,26033,Uptown,2024-03-04
65,ACC000065,1065,LN00065,Visa,569197,22,Suburb,2024-03-05
66,ACC000066,1066,LN00066,Amex,730997,47609,Downtown,2024-03-06
67,ACC000067,1067,LN00067,Amex,513998,2281,Midtown,2024-03-07
68,ACC000068,1068,LN00068,Discover,199094,18653,Suburb,2024-03-08
69,ACC000069,1069,LN00069,Discover,594329,39053,Downtown,2024-03-09
70,ACC000070,1070,LN00070,Amex,195792,1078,Uptown,2024-03-10
71,ACC000071,1071,LN00071,Discover,570127,33932,Uptown,2024-03-11
72,ACC000072,1072,LN00072,Mastercard,364652,8862,Suburb,2024-03-12
73,ACC000073,1073,LN00073,Mastercard,339503,19791,Downtown,2024-03-13
74,ACC000074,1074,LN00074,Discover,768079,440,Downtown,2024-03-14
75,ACC000075,1075,LN00075,Discover,491247,19692,Uptown,2024-03-15
76,ACC000076,1076,LN00076,Amex,288798,14551,Midtown,2024-03-16
77,ACC000077,1077,LN00077,Amex,909909,14088,Midtown,2024-03-17
78,ACC000078,1078,LN00078,Discover,871833,20647,Suburb,2024-03-18
79,ACC000079,1079,LN00079,Mastercard,627861,1432,Suburb,2024-03-19
80,ACC000080,1080,LN00080,Visa,958995,45211,Uptown,2024-03-20
81,ACC000081,1081,LN00081,Discover,902463,18095,Downtown,2024-03-21
82,ACC000082,1082,LN00082,Amex,581556,36294,Midtown,2024-03-22
83,ACC000083,1083,LN00083,Amex,168232,33516,Midtown,2024-03-23
84,ACC000084,1084,LN00084,Discover,72322,36469,Midtown,2024-03-24
85,ACC000085,1085,LN00085,Amex,557037,37409,Midtown,2024-03-25
86,ACC000086,1086,LN00086,Mastercard,162655,37471,Uptown,2024-03-26
87,ACC000087,1087,LN00087,Amex,471313,10149,Midtown,2024-03-27
88,ACC000088,1088,LN00088,Visa,310135,6189,Downtown,2024-03-28
89,ACC000089,1089,LN00089,Visa,859322,2483,Midtown,2024-03-29
90,ACC000090,1090,LN00090,Mastercard,276241,30180,Suburb,2024-03-30
91,ACC000091,1091,LN00091,Amex,568015,23318,Downtown,2024-03-31
92,ACC000092,1092,LN00092,Amex,385045,10240,Midtown,2024-04-01
93,ACC000093,1093,LN00093,Discover,476236,9080,Uptown,2024-04-02
94,ACC000094,1094,LN00094,Visa,854,17376,Uptown,2024-04-03
95,ACC000095,1095,LN00095,Discover,813708,24067,Midtown,2024-04-04
96,ACC000096,1096,LN00096,Discover,669118,38162,Suburb,2024-04-05
97,ACC000097,1097,LN00097,Amex,530635,16384,Uptown,2024-04-06
98,ACC000098,1098,LN00098,Visa,397555,15279,Downtown,2024-04-07
99,ACC000099,1099,LN00099,Discover,769395,16803,Suburb,2024-04-08
100,ACC000100,1100,LN00100,Amex,194646,19690,Uptown,2024-04-09
101,ACC000101,1101,LN00101,Mastercard,925921,6033,Suburb,2024-04-10
102,ACC000102,1102,LN00102,Visa,19729,37397,Uptown,2024-04-11
103,ACC000103,1103,LN00103,Amex,649938,26211,Uptown,2024-04-12
104,ACC000104,1104,LN00104,Mastercard,898550,37304,Suburb,2024-04-13
105,ACC000105,1105,LN00105,Discover,381860,14259,Midtown,2024-04-14
106,ACC000106,1106,LN00106,Discover,813812,48130,Midtown,2024-04-15
107,ACC000107,1107,LN00107,Discover,650424,5069,Suburb,2024-04-16
108,ACC000108,1108,LN00108,Mastercard,250485,47430,Uptown,2024-04-17
109,ACC000109,1109,LN00109,Mastercard,336372,21289,Uptown,2024-04-18
110,ACC000110,1110,LN00110,Discover,756127,31633,Uptown,2024-04-19
111,ACC000111,1111,LN00111,Discover,66518,11341,Uptown,2024-04-20
112,ACC000112,1112,LN00112,Mastercard,690366,32009,Uptown,2024-04-21
113,ACC000113,1113,LN00113,Amex,565236,45203,Midtown,2024-04-22
114,ACC000114,1114,LN00114,Visa,858935,46071,Uptown,2024-04-23
115,ACC000115,1115,LN00115,Discover,406413,37773,Suburb,2024-04-24
116,ACC000116,1116,LN00116,Mastercard,199192,6259,Uptown,2024-04-25
117,ACC000117,1117,LN00117,Amex,549626,39019,Uptown,2024-04-26
118,ACC000118,1118,LN00118,Amex,716512,42100,Midtown,2024-04-27
119,ACC000119,1119,LN00119,Amex,521818,19696,Downtown,2024-04-28
120,ACC000120,1120,LN00120,Discover,803030,2459,Downtown,2024-04-29
121,ACC000121,1121,LN00121,Mastercard,578355,47903,Uptown,2024-04-30
122,ACC000122,1122,LN00122,Visa,161718,37777,Midtown,2024-05-01
123,ACC000123,1123,LN00123,Mastercard,642918,25015,Uptown,2024-05-02
124,ACC000124,1124,LN00124,Mastercard,296982,5153,Downtown,2024-05-03
125,ACC000125,1125,LN00125,Amex,338370,3674,Midtown,2024-05-04
126,ACC000126,1126,LN00126,Visa,429811,21924,Suburb,2024-05-05
127,ACC000127,1127,LN00127,Discover,672136,22811,Suburb,2024-05-06
128,ACC000128,1128,LN00128,Discover,337766,28472,Midtown,2024-05-07
129,ACC000129,1129,LN00129,Amex,115930,27307,Suburb,2024-05-08
130,ACC000130,1130,LN00130,Discover,101032,7909,Midtown,2024-05-09
131,ACC000131,1131,LN00131,Mastercard,548715,14868,Uptown,2024-05-10
132,ACC000132,1132,LN00132,Amex,690997,49009,Uptown,2024-05-11
133,ACC000133,1133,LN00133,Visa,70018,42790,Downtown,2024-05-12
134,ACC000134,1134,LN00134,Mastercard,46003,39482,Uptown,2024-05-13
135,ACC000135,1135,LN00135,Visa,875863,759,Uptown,2024-05-14
136,ACC000136,1136,LN00136,Visa,983454,41552,Downtown,2024-05-15
137,ACC000137,1137,LN00137,Mastercard,136178,41441,Midtown,2024-05-16
138,ACC000138,1138,LN00138,Visa,187416,25076,Uptown,2024-05-17
139,ACC000139,1139,LN00139,Amex,916023,3557,Uptown,2024-05-18
140,ACC000140,1140,LN00140,Amex,32892,19984,Uptown,2024-05-19
141,ACC000141,1141,LN00141,Mastercard,211995,34375,Downtown,2024-05-20
142,ACC000142,1142,LN00142,Discover,112355,2708,Midtown,2024-05-21
143,ACC000143,1143,LN00143,Visa,509047,20936,Downtown,2024-05-22
144,ACC000144,1144,LN00144,Mastercard,201024,35394,Suburb,2024-05-23
145,ACC000145,1145,LN00145,Visa,103650,37032,Uptown,2024-05-24
146,ACC000146,1146,LN00146,Mastercard,33462,9812,Suburb,2024-05-25
147,ACC000147,1147,LN00147,Visa,598849,21429,Midtown,2024-05-26
148,ACC000148,1148,LN00148,Discover,673025,32935,Uptown,2024-05-27
149,ACC000149,1149,LN00149,Mastercard,877023,45738,Suburb,2024-05-28
150,ACC000150,1150,LN00150,Amex,407575,14480,Suburb,2024-05-29
151,ACC000151,1151,LN00151,Discover,689980,10049,Suburb,2024-05-30
152,ACC000152,1152,LN00152,Amex,513807,3320,Uptown,2024-05-31
153,ACC000153,1153,LN00153,Discover,551463,44157,Uptown,2024-06-01
154,ACC000154,1154,LN00154,Amex,654380,47954,Uptown,2024-06-02
155,ACC000155,1155,LN00155,Discover,735481,25757,Uptown,2024-06-03
156,ACC000156,1156,LN00156,Visa,619075,29213,Downtown,2024-06-04
157,ACC000157,1157,LN00157,Amex,268471,49348,Suburb,2024-06-05
158,ACC000158,1158,LN00158,Visa,51570,39012,Downtown,2024-06-06
159,ACC000159,1159,LN00159,Mastercard,384250,37709,Midtown,2024-06-07
160,ACC000160,1160,LN00160,Visa,231544,33087,Suburb,2024-06-08
161,ACC000161,1161,LN00161,Amex,635488,5913,Uptown,2024-06-09
162,ACC000162,1162,LN00162,Discover,752815,14564,Uptown,2024-06-10
163,ACC000163,1163,LN00163,Visa,74416,28317,Uptown,2024-06-11
164,ACC000164,1164,LN00164,Discover,13821,19001,Downtown,2024-06-12
165,ACC000165,1165,LN00165,Mastercard,975496,25852,Uptown,2024-06-13
166,ACC000166,1166,LN00166,Mastercard,965875,9710,Suburb,2024-06-14
167,ACC000167,1167,LN00167,Amex,218977,8673,Suburb,2024-06-15
168,ACC000168,1168,LN00168,Discover,687703,22041,Midtown,2024-06-16
169,ACC000169,1169,LN00169,Visa,515376,5419,Suburb,2024-06-17
170,ACC000170,1170,LN00170,Visa,973601,31195,Uptown,2024-06-18
171,ACC000171,1171,LN00171,Mastercard,933088,37459,Suburb,2024-06-19
172,ACC000172,1172,LN00172,Discover,872596,48854,Suburb,2024-06-20
173,ACC000173,1173,LN00173,Discover,83940,3241,Downtown,2024-06-21
174,ACC000174,1174,LN00174,Mastercard,490895,35933,Suburb,2024-06-22
175,ACC000175,1175,LN00175,Visa,840030,26171,Midtown,2024-06-23
176,ACC000176,1176,LN00176,Mastercard,670052,17216,Suburb,2024-06-24
177,ACC000177,1177,LN00177,Discover,63748,5585,Downtown,2024-06-25
178,ACC000178,1178,LN00178,Visa,378558,26127,Downtown,2024-06-26
179,ACC000179,1179,LN00179,Mastercard,585226,32897,Suburb,2024-06-27
180,ACC000180,1180,LN00180,Discover,779692,28484,Suburb,2024-06-28
181,ACC000181,1181,LN00181,Discover,983919,45745,Downtown,2024-06-29
182,ACC000182,1182,LN00182,Amex,933784,8554,Uptown,2024-06-30
183,ACC000183,1183,LN00183,Amex,436258,49950,Suburb,2024-07-01
184,ACC000184,1184,LN00184,Mastercard,862057,8848,Downtown,2024-07-02
185,ACC000185,1185,LN00185,Visa,387096,31527,Suburb,2024-07-03
186,ACC000186,1186,LN00186,Visa,832931,36664,Downtown,2024-07-04
187,ACC000187,1187,LN00187,Amex,742946,12993,Uptown,2024-07-05
188,ACC000188,1188,LN00188,Discover,61232,31982,Midtown,2024-07-06
189,ACC000189,1189,LN00189,Amex,863752,25917,Suburb,2024-07-07
190,ACC000190,1190,LN00190,Mastercard,647001,42755,Suburb,2024-07-08
191,ACC000191,1191,LN00191,Amex,278827,37452,Midtown,2024-07-09
192,ACC000192,1192,LN00192,Visa,554818,12861,Midtown,2024-07-10
193,ACC000193,1193,LN00193,Mastercard,42727,36786,Suburb,2024-07-11
194,ACC000194,1194,LN00194,Visa,770069,40379,Uptown,2024-07-12
195,ACC000195,1195,LN00195,Mastercard,73907,48222,Suburb,2024-07-13
196,ACC000196,1196,LN00196,Discover,875091,34367,Midtown,2024-07-14
197,ACC000197,1197,LN00197,Amex,318767,16147,Downtown,2024-07-15
198,ACC000198,1198,LN00198,Visa,81821,15890,Uptown,2024-07-16
199,ACC000199,1199,LN00199,Mastercard,990588,4705,Suburb,2024-07-17
200,ACC000200,1200,LN00200,Amex,226487,17459,Suburb,2024-07-18
