student_id,student_name,teacher,course,department,attendance,exam,grade,fee,enrollment_date
41,Student 041,Teacher 01,Math,Science,67,Exam-041,D,3630,2024-02-10
42,Student 042,Teacher 02,History,Engineering,78,Exam-042,A,1197,2024-02-11
43,Student 043,Teacher 03,English,Arts,65,Exam-043,F,2266,2024-02-12
44,Student 044,Teacher 04,Science,Business,70,Exam-044,B,3096,2024-02-13
45,Student 045,Teacher 05,Math,Engineering,77,Exam-045,F,3403,2024-02-14
46,Student 046,Teacher 06,History,Engineering,88,Exam-046,C,3097,2024-02-15
47,Student 047,Teacher 07,Math,Arts,92,Exam-047,D,470,2024-02-16
48,Student 048,Teacher 08,Science,Science,69,Exam-048,C,3381,2024-02-17
49,Student 049,Teacher 09,Art,Arts,87,Exam-049,C,519,2024-02-18
50,Student 050,Teacher 10,Math,Arts,65,Exam-050,B,4771,2024-02-19
51,Student 051,Teacher 11,Math,Science,74,Exam-051,A,4702,2024-02-20
52,Student 052,Teacher 12,English,Science,88,Exam-052,A,1694,2024-02-21
53,Student 053,Teacher 13,Science,Science,82,Exam-053,B,3069,2024-02-22
54,Student 054,Teacher 14,Science,Engineering,61,Exam-054,D,4632,2024-02-23
55,Student 055,Teacher 15,Art,Engineering,86,Exam-055,F,2464,2024-02-24
56,Student 056,Teacher 16,Science,Business,63,Exam-056,D,702,2024-02-25
57,Student 057,Teacher 17,Math,Business,85,Exam-057,F,3264,2024-02-26
58,Student 058,Teacher 18,Art,Arts,92,Exam-058,A,4230,2024-02-27
59,Student 059,Teacher 19,Science,Arts,83,Exam-059,C,3789,2024-02-28
60,Student 060,Teacher 20,Art,Business,75,Exam-060,C,4604,2024-02-29
61,Student 061,Teacher 01,Science,Arts,84,Exam-061,D,2391,2024-03-01
62,Student 062,Teacher 02,Science,Science,65,Exam-062,B,1073,2024-03-02
63,Student 063,Teacher 03,English,Engineering,83,Exam-063,F,1154,2024-03-03
64,Student 064,Teacher 04,Science,Business,74,Exam-064,C,892,2024-03-04
65,Student 065,Teacher 05,Art,Engineering,61,Exam-065,D,3326,2024-03-05
66,Student 066,Teacher 06,Math,Business,80,Exam-066,B,3157,2024-03-06
67,Student 067,Teacher 07,English,Engineering,66,Exam-067,A,2877,2024-03-07
68,Student 068,Teacher 08,Science,Business,81,Exam-068,B,4669,2024-03-08
69,Student 069,Teacher 09,Science,Engineering,69,Exam-069,A,3095,2024-03-09
70,Student 070,Teacher 10,Art,Science,68,Exam-070,D,1281,2024-03-10
71,Student 071,Teacher 11,English,Business,62,Exam-071,B,1730,2024-03-11
72,Student 072,Teacher 12,Science,Business,78,Exam-072,D,4270,2024-03-12
73,Student 073,Teacher 13,Math,Business,90,Exam-073,A,3388,2024-03-13
74,Student 074,Teacher 14,Math,Science,68,Exam-074,C,4196,2024-03-14
75,Student 075,Teacher 15,Science,Engineering,90,Exam-075,C,429,2024-03-15
76,Student 076,Teacher 16,Math,Business,88,Exam-076,A,471,2024-03-16
77,Student 077,Teacher 17,English,Engineering,99,Exam-077,F,418,2024-03-17
78,Student 078,Teacher 18,Science,Science,60,Exam-078,F,1222,2024-03-18
79,Student 079,Teacher 19,Art,Arts,65,Exam-079,C,2828,2024-03-19
80,Student 080,Teacher 20,English,Business,61,Exam-080,C,3980,2024-03-20
81,Student 081,Teacher 01,Math,Science,76,Exam-081,B,4354,2024-03-21
82,Student 082,Teacher 02,Science,Engineering,73,Exam-082,B,3843,2024-03-22
83,Student 083,Teacher 03,English,Business,69,Exam-083,C,1320,2024-03-23
84,Student 084,Teacher 04,Math,Engineering,95,Exam-084,F,4323,2024-03-24
85,Student 085,Teacher 05,Science,Arts,98,Exam-085,B,1245,2024-03-25
86,Student 086,Teacher 06,History,Business,93,Exam-086,A,2786,2024-03-26
87,Student 087,Teacher 07,Art,Business,87,Exam-087,B,2709,2024-03-27
88,Student 088,Teacher 08,Math,Engineering,67,Exam-088,B,1431,2024-03-28
89,Student 089,Teacher 09,Math,Business,78,Exam-089,B,3319,2024-03-29
90,Student 090,Teacher 10,History,Science,75,Exam-090,D,2551,2024-03-30
91,Student 091,Teacher 11,History,Science,79,Exam-091,A,4963,2024-03-31
92,Student 092,Teacher 12,English,Arts,67,Exam-092,C,2855,2024-04-01
93,Student 093,Teacher 13,Art,Science,63,Exam-093,F,4255,2024-04-02
94,Student 094,Teacher 14,Art,Arts,75,Exam-094,F,4275,2024-04-03
95,Student 095,Teacher 15,Math,Engineering,86,Exam-095,C,4460,2024-04-04
96,Student 096,Teacher 16,History,Engineering,100,Exam-096,D,4112,2024-04-05
97,Student 097,Teacher 17,Art,Arts,99,Exam-097,F,4711,2024-04-06
98,Student 098,Teacher 18,Science,Science,89,Exam-098,B,2555,2024-04-07
99,Student 099,Teacher 19,Art,Science,64,Exam-099,F,3990,2024-04-08
100,Student 100,Teacher 20,Math,Arts,67,Exam-100,A,236,2024-04-09
101,Student 101,Teacher 01,Art,Arts,91,Exam-101,A,3117,2024-04-10
102,Student 102,Teacher 02,English,Engineering,98,Exam-102,C,2813,2024-04-11
103,Student 103,Teacher 03,History,Arts,94,Exam-103,D,997,2024-04-12
104,Student 104,Teacher 04,Math,Science,61,Exam-104,D,3512,2024-04-13
105,Student 105,Teacher 05,Math,Arts,100,Exam-105,F,4881,2024-04-14
106,Student 106,Teacher 06,History,Arts,92,Exam-106,D,2620,2024-04-15
107,Student 107,Teacher 07,History,Arts,96,Exam-107,D,318,2024-04-16
108,Student 108,Teacher 08,History,Engineering,75,Exam-108,F,4989,2024-04-17
109,Student 109,Teacher 09,Math,Arts,69,Exam-109,A,3987,2024-04-18
110,Student 110,Teacher 10,History,Business,78,Exam-110,B,2275,2024-04-19
111,Student 111,Teacher 11,History,Business,87,Exam-111,C,4838,2024-04-20
112,Student 112,Teacher 12,Math,Business,60,Exam-112,A,4831,2024-04-21
113,Student 113,Teacher 13,Math,Science,99,Exam-113,D,1964,2024-04-22
114,Student 114,Teacher 14,English,Science,82,Exam-114,D,520,2024-04-23
115,Student 115,Teacher 15,Art,Arts,75,Exam-115,F,4880,2024-04-24
116,Student 116,Teacher 16,Science,Business,96,Exam-116,C,4035,2024-04-25
117,Student 117,Teacher 17,Math,Engineering,86,Exam-117,B,1496,2024-04-26
118,Student 118,Teacher 18,Science,Business,71,Exam-118,F,4394,2024-04-27
119,Student 119,Teacher 19,English,Business,65,Exam-119,F,3214,2024-04-28
120,Student 120,Teacher 20,Art,Science,93,Exam-120,B,1310,2024-04-29
121,Student 121,Teacher 01,Art,Science,83,Exam-121,B,2084,2024-04-30
122,Student 122,Teacher 02,Art,Engineering,64,Exam-122,D,358,2024-05-01
123,Student 123,Teacher 03,English,Science,93,Exam-123,F,4790,2024-05-02
124,Student 124,Teacher 04,History,Engineering,94,Exam-124,A,1000,2024-05-03
125,Student 125,Teacher 05,Art,Science,92,Exam-125,A,1662,2024-05-04
126,Student 126,Teacher 06,Art,Business,92,Exam-126,F,255,2024-05-05
127,Student 127,Teacher 07,English,Business,95,Exam-127,B,3712,2024-05-06
128,Student 128,Teacher 08,History,Engineering,61,Exam-128,C,2669,2024-05-07
129,Student 129,Teacher 09,Art,Engineering,84,Exam-129,B,3530,2024-05-08
130,Student 130,Teacher 10,Art,Science,90,Exam-130,B,1340,2024-05-09
131,Student 131,Teacher 11,History,Science,62,Exam-131,C,3482,2024-05-10
132,Student 132,Teacher 12,Math,Engineering,100,Exam-132,B,1770,2024-05-11
133,Student 133,Teacher 13,Math,Engineering,84,Exam-133,C,3461,2024-05-12
134,Student 134,Teacher 14,Art,Business,83,Exam-134,F,4210,2024-05-13
135,Student 135,Teacher 15,Science,Business,76,Exam-135,C,3963,2024-05-14
136,Student 136,Teacher 16,History,Engineering,61,Exam-136,A,610,2024-05-15
137,Student 137,Teacher 17,History,Business,82,Exam-137,C,1231,2024-05-16
138,Student 138,Teacher 18,Science,Arts,64,Exam-138,B,4349,2024-05-17
139,Student 139,Teacher 19,History,Science,82,Exam-139,F,1798,2024-05-18
140,Student 140,Teacher 20,English,Business,75,Exam-140,C,4694,2024-05-19
141,Student 141,Teacher 01,History,Arts,100,Exam-141,B,2762,2024-05-20
142,Student 142,Teacher 02,History,Engineering,66,Exam-142,C,4018,2024-05-21
143,Student 143,Teacher 03,History,Business,97,Exam-143,F,4404,2024-05-22
144,Student 144,Teacher 04,Math,Engineering,81,Exam-144,F,3186,2024-05-23
145,Student 145,Teacher 05,English,Science,68,Exam-145,A,2670,2024-05-24
146,Student 146,Teacher 06,History,Engineering,62,Exam-146,F,1518,2024-05-25
147,Student 147,Teacher 07,English,Arts,82,Exam-147,B,3865,2024-05-26
148,Student 148,Teacher 08,English,Engineering,94,Exam-148,F,4467,2024-05-27
149,Student 149,Teacher 09,English,Arts,81,Exam-149,F,2904,2024-05-28
150,Student 150,Teacher 10,Science,Business,71,Exam-150,B,4575,2024-05-29
151,Student 151,Teacher 11,History,Business,89,Exam-151,B,3002,2024-05-30
152,Student 152,Teacher 12,Math,Arts,90,Exam-152,F,2265,2024-05-31
153,Student 153,Teacher 13,Math,Science,100,Exam-153,F,4066,2024-06-01
154,Student 154,Teacher 14,Math,Science,71,Exam-154,C,1675,2024-06-02
155,Student 155,Teacher 15,Math,Science,68,Exam-155,F,2119,2024-06-03
156,Student 156,Teacher 16,History,Business,64,Exam-156,A,2385,2024-06-04
157,Student 157,Teacher 17,Math,Business,89,Exam-157,A,4671,2024-06-05
158,Student 158,Teacher 18,English,Science,62,Exam-158,A,2545,2024-06-06
159,Student 159,Teacher 19,Science,Engineering,78,Exam-159,A,1942,2024-06-07
160,Student 160,Teacher 20,Art,Science,72,Exam-160,F,2538,2024-06-08
161,Student 161,Teacher 01,Math,Engineering,62,Exam-161,C,2467,2024-06-09
162,Student 162,Teacher 02,Art,Science,72,Exam-162,B,1798,2024-06-10
163,Student 163,Teacher 03,Art,Engineering,62,Exam-163,F,4105,2024-06-11
164,Student 164,Teacher 04,Art,Business,80,Exam-164,D,2697,2024-06-12
165,Student 165,Teacher 05,English,Science,79,Exam-165,F,4030,2024-06-13
166,Student 166,Teacher 06,Math,Science,92,Exam-166,A,2957,2024-06-14
167,Student 167,Teacher 07,History,Arts,85,Exam-167,D,4691,2024-06-15
168,Student 168,Teacher 08,English,Science,94,Exam-168,F,2340,2024-06-16
169,Student 169,Teacher 09,History,Engineering,90,Exam-169,C,2457,2024-06-17
170,Student 170,Teacher 10,Math,Arts,76,Exam-170,C,1098,2024-06-18
171,Student 171,Teacher 11,English,Science,62,Exam-171,D,4797,2024-06-19
172,Student 172,Teacher 12,Art,Science,72,Exam-172,B,4549,2024-06-20
173,Student 173,Teacher 13,English,Business,78,Exam-173,D,3210,2024-06-21
174,Student 174,Teacher 14,English,Arts,82,Exam-174,C,3332,2024-06-22
175,Student 175,Teacher 15,Math,Engineering,63,Exam-175,D,2927,2024-06-23
176,Student 176,Teacher 16,Art,Science,81,Exam-176,A,1299,2024-06-24
177,Student 177,Teacher 17,Art,Business,77,Exam-177,A,2479,2024-06-25
178,Student 178,Teacher 18,Science,Science,67,Exam-178,B,444,2024-06-26
179,Student 179,Teacher 19,Science,Arts,83,Exam-179,D,2456,2024-06-27
180,Student 180,Teacher 20,History,Engineering,87,Exam-180,D,747,2024-06-28
181,Student 181,Teacher 01,Science,Business,85,Exam-181,D,2937,2024-06-29
182,Student 182,Teacher 02,Math,Science,88,Exam-182,D,3723,2024-06-30
183,Student 183,Teacher 03,English,Engineering,84,Exam-183,B,2200,2024-07-01
184,Student 184,Teacher 04,Art,Science,81,Exam-184,C,4024,2024-07-02
185,Student 185,Teacher 05,English,Science,71,Exam-185,F,1852,2024-07-03
186,Student 186,Teacher 06,Math,Arts,91,Exam-186,B,1755,2024-07-04
187,Student 187,Teacher 07,English,Arts,91,Exam-187,C,4512,2024-07-05
188,Student 188,Teacher 08,Art,Science,83,Exam-188,C,2321,2024-07-06
189,Student 189,Teacher 09,Science,Business,93,Exam-189,C,4704,2024-07-07
190,Student 190,Teacher 10,History,Arts,77,Exam-190,D,2325,2024-07-08
191,Student 191,Teacher 11,Art,Arts,65,Exam-191,B,1224,2024-07-09
192,Student 192,Teacher 12,Art,Arts,87,Exam-192,C,994,2024-07-10
193,Student 193,Teacher 13,Art,Arts,65,Exam-193,F,4907,2024-07-11
194,Student 194,Teacher 14,Art,Engineering,87,Exam-194,F,2060,2024-07-12
195,Student 195,Teacher 15,Math,Science,98,Exam-195,A,2086,2024-07-13
196,Student 196,Teacher 16,Art,Engineering,71,Exam-196,C,515,2024-07-14
197,Student 197,Teacher 17,English,Engineering,94,Exam-197,B,4450,2024-07-15
198,Student 198,Teacher 18,Math,Science,78,Exam-198,D,1948,2024-07-16
199,Student 199,Teacher 19,Science,Arts,80,Exam-199,A,2007,2024-07-17
200,Student 200,Teacher 20,English,Business,66,Exam-200,C,530,2024-07-18
