student_id,student_name,grade,department,enrollment_date,course,score,attendance_rate,graduation_rate
S1158,Student_158,A,Business,2024-06-07,Physics,77.8,0.53,0.64
S1159,Student_159,C,Business,2024-06-08,History,66.9,0.7,0.72
S1160,Student_160,D,Science,2024-06-09,History,95.5,0.81,0.74
S1161,Student_161,B,Business,2024-06-10,Physics,85.3,0.92,0.66
S1162,Student_162,F,Science,2024-06-11,Biology,62.7,0.6,0.67
S1163,Student_163,C,Arts,2024-06-12,Biology,79.1,0.96,0.79
S1164,Student_164,F,Medicine,2024-06-13,Economics,47.4,0.68,0.79
S1165,Student_165,F,Business,2024-06-14,Economics,43.8,0.88,0.61
S1166,Student_166,B,Medicine,2024-06-15,Economics,85.5,0.55,0.72
S1167,Student_167,D,Engineering,2024-06-16,Biology,76.6,0.7,0.83
S1168,Student_168,F,Business,2024-06-17,Math,60.0,0.92,0.95
S1169,Student_169,F,Science,2024-06-18,History,81.5,0.76,0.82
S1170,Student_170,C,Arts,2024-06-19,Math,92.9,0.88,0.98
S1171,Student_171,C,Engineering,2024-06-20,Physics,52.0,0.51,0.61
S1172,Student_172,D,Medicine,2024-06-21,Economics,69.7,0.56,0.79
S1173,Student_173,C,Science,2024-06-22,Physics,46.3,0.56,0.75
S1174,Student_174,C,Arts,2024-06-23,Economics,57.7,0.87,0.94
S1175,Student_175,D,Science,2024-06-24,Physics,56.3,0.93,0.96
S1176,Student_176,F,Engineering,2024-06-25,Math,73.1,0.83,0.79
S1177,Student_177,D,Science,2024-06-26,Biology,89.4,0.63,0.76
S1178,Student_178,C,Engineering,2024-06-27,CS,43.9,0.71,0.85
S1179,Student_179,B,Arts,2024-06-28,CS,58.9,0.61,0.64
S1180,Student_180,B,Engineering,2024-06-29,Math,46.0,0.9,0.62
S1181,Student_181,F,Arts,2024-06-30,Physics,44.9,0.74,0.95
S1182,Student_182,F,Medicine,2024-07-01,Economics,64.6,0.99,0.89
S1183,Student_183,B,Engineering,2024-07-02,Math,55.2,0.71,0.7
S1184,Student_184,B,Arts,2024-07-03,Economics,91.7,0.7,0.84
S1185,Student_185,D,Medicine,2024-07-04,Math,69.0,0.98,0.62
S1186,Student_186,D,Arts,2024-07-05,CS,57.8,0.87,0.76
S1187,Student_187,B,Engineering,2024-07-06,Math,70.5,0.62,0.84
S1188,Student_188,D,Business,2024-07-07,Biology,58.5,0.78,0.88
S1189,Student_189,B,Medicine,2024-07-08,History,88.0,0.59,0.84
S1190,Student_190,F,Medicine,2024-07-09,Economics,42.1,0.68,0.66
S1191,Student_191,F,Medicine,2024-07-10,Biology,77.0,0.66,0.97
S1192,Student_192,B,Science,2024-07-11,History,41.3,0.54,0.92
S1193,Student_193,D,Engineering,2024-07-12,History,65.0,0.58,0.67
S1194,Student_194,C,Business,2024-07-13,History,71.1,0.82,0.7
S1195,Student_195,B,Science,2024-07-14,History,46.8,0.83,0.96
S1196,Student_196,D,Business,2024-07-15,Physics,87.7,0.81,0.65
S1197,Student_197,D,Science,2024-07-16,CS,66.7,0.58,0.92
S1198,Student_198,C,Business,2024-07-17,Biology,86.8,0.86,0.96
S1199,Student_199,D,Medicine,2024-07-18,CS,56.8,0.58,0.83
