account_id,customer_id,account_type,balance,transaction_id,amount,transaction_type,date,branch_id
ACC1029,CUST1029,business,594.96,TXN10029,3477.49,deposit,2024-01-30,B001
ACC1030,CUST1030,savings,42690.61,TXN10030,4444.22,transfer,2024-01-31,B003
ACC1031,CUST1031,checking,74725.69,TXN10031,2268.72,deposit,2024-02-01,B001
ACC1032,CUST1032,business,28131.76,TXN10032,385.67,deposit,2024-02-02,B002
ACC1033,CUST1033,savings,78238.87,TXN10033,1738.74,withdrawal,2024-02-03,B002
ACC1034,CUST1034,checking,22859.07,TXN10034,83.95,withdrawal,2024-02-04,B004
ACC1035,CUST1035,savings,63225.78,TXN10035,2988.4,debit,2024-02-05,B003
ACC1036,CUST1036,checking,47555.19,TXN10036,2888.77,withdrawal,2024-02-06,B004
ACC1037,CUST1037,business,28614.12,TXN10037,119.2,debit,2024-02-07,B002
ACC1038,CUST1038,business,52449.42,TXN10038,3030.67,withdrawal,2024-02-08,B003
ACC1039,CUST1039,savings,91216.95,TXN10039,579.22,withdrawal,2024-02-09,B004
ACC1040,CUST1040,savings,48673.41,TXN10040,3710.63,credit,2024-02-10,B001
ACC1041,CUST1041,business,91149.96,TXN10041,2617.39,debit,2024-02-11,B001
ACC1042,CUST1042,checking,13354.65,TXN10042,316.02,deposit,2024-02-12,B001
ACC1043,CUST1043,checking,96286.27,TXN10043,1563.39,credit,2024-02-13,B004
ACC1044,CUST1044,savings,1583.87,TXN10044,1615.62,debit,2024-02-14,B003
ACC1045,CUST1045,savings,44730.55,TXN10045,1527.51,credit,2024-02-15,B001
ACC1046,CUST1046,savings,64744.96,TXN10046,1031.74,deposit,2024-02-16,B002
ACC1047,CUST1047,savings,11066.55,TXN10047,3485.5,debit,2024-02-17,B004
ACC1048,CUST1048,checking,63356.72,TXN10048,834.94,withdrawal,2024-02-18,B004
ACC1049,CUST1049,business,18302.29,TXN10049,4544.02,debit,2024-02-19,B004
ACC1050,CUST1050,checking,81438.9,TXN10050,1821.63,withdrawal,2024-02-20,B004
ACC1051,CUST1051,checking,5542.87,TXN10051,3498.49,transfer,2024-02-21,B002
ACC1052,CUST1052,business,1840.71,TXN10052,343.67,withdrawal,2024-02-22,B003
ACC1053,CUST1053,business,49031.3,TXN10053,1624.76,credit,2024-02-23,B003
ACC1054,CUST1054,business,56155.01,TXN10054,3510.56,transfer,2024-02-24,B002
ACC1055,CUST1055,business,3929.72,TXN10055,714.87,transfer,2024-02-25,B002
ACC1056,CUST1056,checking,11771.31,TXN10056,4630.16,deposit,2024-02-26,B002
ACC1057,CUST1057,business,61356.25,TXN10057,3777.8,credit,2024-02-27,B002
ACC1058,CUST1058,checking,34034.72,TXN10058,2627.34,deposit,2024-02-28,B003
ACC1059,CUST1059,savings,46108.63,TXN10059,531.03,transfer,2024-02-29,B001
ACC1060,CUST1060,checking,24735.44,TXN10060,1544.84,credit,2024-03-01,B003
ACC1061,CUST1061,savings,98253.14,TXN10061,1911.74,deposit,2024-03-02,B003
ACC1062,CUST1062,savings,77397.68,TXN10062,868.42,transfer,2024-03-03,B002
ACC1063,CUST1063,checking,93218.16,TXN10063,4088.62,debit,2024-03-04,B002
ACC1064,CUST1064,checking,19457.65,TXN10064,4280.17,withdrawal,2024-03-05,B004
ACC1065,CUST1065,savings,21305.07,TXN10065,349.5,withdrawal,2024-03-06,B002
ACC1066,CUST1066,savings,51117.28,TXN10066,956.7,deposit,2024-03-07,B001
ACC1067,CUST1067,savings,75059.17,TXN10067,3029.91,credit,2024-03-08,B001
ACC1068,CUST1068,business,89952.11,TXN10068,1279.18,deposit,2024-03-09,B001
ACC1069,CUST1069,business,35262.15,TXN10069,609.53,credit,2024-03-10,B002
ACC1070,CUST1070,savings,96481.13,TXN10070,1863.27,transfer,2024-03-11,B001
ACC1071,CUST1071,checking,42175.65,TXN10071,1689.54,transfer,2024-03-12,B004
ACC1072,CUST1072,checking,54043.34,TXN10072,2931.06,transfer,2024-03-13,B004
ACC1073,CUST1073,business,73651.17,TXN10073,2793.45,transfer,2024-03-14,B001
ACC1074,CUST1074,savings,91197.37,TXN10074,2991.89,deposit,2024-03-15,B001
ACC1075,CUST1075,checking,10983.77,TXN10075,2972.72,credit,2024-03-16,B003
ACC1076,CUST1076,savings,72378.19,TXN10076,2598.68,withdrawal,2024-03-17,B002
ACC1077,CUST1077,checking,80900.2,TXN10077,1988.26,withdrawal,2024-03-18,B003
ACC1078,CUST1078,checking,37692.73,TXN10078,1550.67,credit,2024-03-19,B002
ACC1079,CUST1079,checking,25203.19,TXN10079,4775.13,debit,2024-03-20,B001
ACC1080,CUST1080,checking,82427.73,TXN10080,4965.05,transfer,2024-03-21,B003
ACC1081,CUST1081,business,91791.84,TXN10081,3459.62,debit,2024-03-22,B002
ACC1082,CUST1082,business,45102.15,TXN10082,3656.69,debit,2024-03-23,B003
ACC1083,CUST1083,savings,40195.14,TXN10083,4880.21,deposit,2024-03-24,B004
ACC1084,CUST1084,savings,32610.72,TXN10084,289.68,credit,2024-03-25,B001
ACC1085,CUST1085,checking,71712.92,TXN10085,2127.59,withdrawal,2024-03-26,B001
ACC1086,CUST1086,checking,80072.98,TXN10086,1961.57,debit,2024-03-27,B004
ACC1087,CUST1087,business,59927.29,TXN10087,888.61,deposit,2024-03-28,B001
ACC1088,CUST1088,checking,67907.46,TXN10088,3637.87,debit,2024-03-29,B001
ACC1089,CUST1089,savings,30964.7,TXN10089,2823.26,transfer,2024-03-30,B002
ACC1090,CUST1090,checking,74803.83,TXN10090,2693.93,credit,2024-03-31,B002
ACC1091,CUST1091,checking,68230.73,TXN10091,326.25,credit,2024-04-01,B001
ACC1092,CUST1092,business,31682.31,TXN10092,923.78,withdrawal,2024-04-02,B004
ACC1093,CUST1093,checking,88094.73,TXN10093,4989.41,deposit,2024-04-03,B001
ACC1094,CUST1094,business,61875.7,TXN10094,3692.77,deposit,2024-04-04,B004
ACC1095,CUST1095,business,9619.28,TXN10095,1423.74,transfer,2024-04-05,B001
ACC1096,CUST1096,savings,61460.84,TXN10096,1848.12,transfer,2024-04-06,B003
ACC1097,CUST1097,checking,17962.35,TXN10097,137.59,deposit,2024-04-07,B001
ACC1098,CUST1098,savings,33139.8,TXN10098,4034.02,transfer,2024-04-08,B002
ACC1099,CUST1099,savings,81507.9,TXN10099,948.64,credit,2024-04-09,B004
ACC1100,CUST1100,business,95062.65,TXN10100,2577.4,deposit,2024-04-10,B003
ACC1101,CUST1101,business,82671.16,TXN10101,4545.08,deposit,2024-04-11,B004
ACC1102,CUST1102,checking,46398.33,TXN10102,4464.61,credit,2024-04-12,B004
ACC1103,CUST1103,savings,72853.47,TXN10103,1695.01,withdrawal,2024-04-13,B004
ACC1104,CUST1104,savings,21163.69,TXN10104,2282.84,credit,2024-04-14,B001
ACC1105,CUST1105,business,48017.24,TXN10105,781.27,credit,2024-04-15,B001
ACC1106,CUST1106,checking,70047.33,TXN10106,1270.51,debit,2024-04-16,B004
ACC1107,CUST1107,business,21946.89,TXN10107,3862.62,debit,2024-04-17,B002
ACC1108,CUST1108,checking,22983.18,TXN10108,3639.82,credit,2024-04-18,B004
ACC1109,CUST1109,savings,27318.41,TXN10109,3769.04,transfer,2024-04-19,B002
ACC1110,CUST1110,business,4609.34,TXN10110,4209.74,credit,2024-04-20,B003
ACC1111,CUST1111,business,13588.77,TXN10111,4446.11,deposit,2024-04-21,B003
ACC1112,CUST1112,checking,10506.63,TXN10112,2047.64,withdrawal,2024-04-22,B001
ACC1113,CUST1113,savings,12033.2,TXN10113,2712.73,withdrawal,2024-04-23,B001
ACC1114,CUST1114,savings,70766.11,TXN10114,3184.06,debit,2024-04-24,B004
ACC1115,CUST1115,business,7011.31,TXN10115,3433.07,transfer,2024-04-25,B004
ACC1116,CUST1116,checking,26033.54,TXN10116,4774.7,withdrawal,2024-04-26,B003
ACC1117,CUST1117,business,39668.49,TXN10117,4202.88,transfer,2024-04-27,B002
ACC1118,CUST1118,business,92660.96,TXN10118,3133.77,deposit,2024-04-28,B003
ACC1119,CUST1119,checking,60662.04,TXN10119,4847.53,deposit,2024-04-29,B003
ACC1120,CUST1120,checking,49421.22,TXN10120,3652.97,transfer,2024-04-30,B001
ACC1121,CUST1121,checking,66522.09,TXN10121,3041.56,deposit,2024-05-01,B003
ACC1122,CUST1122,business,94946.39,TXN10122,129.75,transfer,2024-05-02,B003
ACC1123,CUST1123,checking,60690.97,TXN10123,2829.39,credit,2024-05-03,B001
ACC1124,CUST1124,business,40085.17,TXN10124,2517.5,deposit,2024-05-04,B003
ACC1125,CUST1125,savings,80687.85,TXN10125,32.55,debit,2024-05-05,B004
ACC1126,CUST1126,checking,48571.96,TXN10126,3405.17,deposit,2024-05-06,B003
ACC1127,CUST1127,checking,28581.13,TXN10127,3540.96,debit,2024-05-07,B002
ACC1128,CUST1128,savings,21868.26,TXN10128,519.17,deposit,2024-05-08,B001
ACC1129,CUST1129,savings,25168.43,TXN10129,274.58,credit,2024-05-09,B002
ACC1130,CUST1130,business,12526.32,TXN10130,1062.1,credit,2024-05-10,B003
ACC1131,CUST1131,savings,37846.47,TXN10131,1363.63,withdrawal,2024-05-11,B004
ACC1132,CUST1132,business,96579.14,TXN10132,3652.5,debit,2024-05-12,B001
ACC1133,CUST1133,savings,64780.69,TXN10133,1947.72,debit,2024-05-13,B001
ACC1134,CUST1134,business,13471.75,TXN10134,247.83,deposit,2024-05-14,B002
ACC1135,CUST1135,savings,84089.89,TXN10135,4843.64,debit,2024-05-15,B002
ACC1136,CUST1136,business,53754.14,TXN10136,440.38,debit,2024-05-16,B004
ACC1137,CUST1137,business,90695.48,TXN10137,3556.29,debit,2024-05-17,B002
ACC1138,CUST1138,checking,79473.57,TXN10138,4366.01,debit,2024-05-18,B004
ACC1139,CUST1139,checking,64875.5,TXN10139,3176.95,deposit,2024-05-19,B003
ACC1140,CUST1140,savings,28171.05,TXN10140,2022.83,withdrawal,2024-05-20,B004
ACC1141,CUST1141,savings,3091.79,TXN10141,1863.82,credit,2024-05-21,B001
ACC1142,CUST1142,checking,62744.75,TXN10142,2506.52,withdrawal,2024-05-22,B003
ACC1143,CUST1143,checking,40037.77,TXN10143,1991.91,credit,2024-05-23,B002
ACC1144,CUST1144,business,38756.55,TXN10144,2112.56,transfer,2024-05-24,B003
ACC1145,CUST1145,savings,98286.61,TXN10145,1373.69,credit,2024-05-25,B003
ACC1146,CUST1146,checking,62283.49,TXN10146,4266.73,debit,2024-05-26,B004
ACC1147,CUST1147,checking,72427.93,TXN10147,4403.27,credit,2024-05-27,B004
ACC1148,CUST1148,savings,36285.42,TXN10148,4861.92,withdrawal,2024-05-28,B001
ACC1149,CUST1149,business,2856.32,TXN10149,1443.74,credit,2024-05-29,B004
ACC1150,CUST1150,savings,88415.37,TXN10150,2452.26,debit,2024-05-30,B002
ACC1151,CUST1151,savings,19259.51,TXN10151,158.51,debit,2024-05-31,B001
ACC1152,CUST1152,business,18285.44,TXN10152,775.94,debit,2024-06-01,B003
ACC1153,CUST1153,savings,9213.74,TXN10153,2751.36,withdrawal,2024-06-02,B001
ACC1154,CUST1154,checking,65094.16,TXN10154,2080.94,transfer,2024-06-03,B001
ACC1155,CUST1155,business,77762.67,TXN10155,3110.47,withdrawal,2024-06-04,B002
ACC1156,CUST1156,business,84607.26,TXN10156,1810.67,deposit,2024-06-05,B001
ACC1157,CUST1157,business,76856.68,TXN10157,3476.89,withdrawal,2024-06-06,B001
ACC1158,CUST1158,business,87891.46,TXN10158,79.72,debit,2024-06-07,B001
ACC1159,CUST1159,business,45846.45,TXN10159,3393.41,debit,2024-06-08,B002
ACC1160,CUST1160,savings,68707.09,TXN10160,3830.76,transfer,2024-06-09,B003
ACC1161,CUST1161,business,41658.46,TXN10161,3289.98,transfer,2024-06-10,B003
ACC1162,CUST1162,checking,54926.99,TXN10162,1901.4,deposit,2024-06-11,B003
ACC1163,CUST1163,business,65063.19,TXN10163,4664.25,credit,2024-06-12,B004
ACC1164,CUST1164,checking,99229.83,TXN10164,4079.44,credit,2024-06-13,B001
ACC1165,CUST1165,checking,69380.58,TXN10165,21.14,credit,2024-06-14,B001
ACC1166,CUST1166,business,98290.81,TXN10166,50.42,deposit,2024-06-15,B003
ACC1167,CUST1167,business,20540.42,TXN10167,2217.06,debit,2024-06-16,B001
ACC1168,CUST1168,savings,15841.31,TXN10168,370.4,debit,2024-06-17,B004
ACC1169,CUST1169,savings,89104.58,TXN10169,745.39,deposit,2024-06-18,B004
ACC1170,CUST1170,business,32844.09,TXN10170,2680.59,deposit,2024-06-19,B004
ACC1171,CUST1171,checking,91233.06,TXN10171,4132.72,transfer,2024-06-20,B004
ACC1172,CUST1172,checking,75105.28,TXN10172,2417.31,deposit,2024-06-21,B003
ACC1173,CUST1173,savings,73874.49,TXN10173,1854.41,withdrawal,2024-06-22,B004
ACC1174,CUST1174,checking,87345.86,TXN10174,1401.17,transfer,2024-06-23,B004
ACC1175,CUST1175,checking,91660.83,TXN10175,1369.53,credit,2024-06-24,B001
ACC1176,CUST1176,checking,48623.87,TXN10176,559.39,credit,2024-06-25,B004
ACC1177,CUST1177,savings,93036.48,TXN10177,2146.67,withdrawal,2024-06-26,B001
ACC1178,CUST1178,checking,36826.52,TXN10178,1041.94,withdrawal,2024-06-27,B003
ACC1179,CUST1179,checking,95955.63,TXN10179,678.69,withdrawal,2024-06-28,B003
ACC1180,CUST1180,checking,55169.21,TXN10180,3052.23,deposit,2024-06-29,B004
ACC1181,CUST1181,business,76727.24,TXN10181,4425.7,transfer,2024-06-30,B001
ACC1182,CUST1182,checking,52124.0,TXN10182,1537.87,credit,2024-07-01,B002
ACC1183,CUST1183,business,54423.74,TXN10183,3019.95,credit,2024-07-02,B003
ACC1184,CUST1184,business,25206.83,TXN10184,3356.44,debit,2024-07-03,B001
ACC1185,CUST1185,business,65482.3,TXN10185,2395.24,debit,2024-07-04,B002
ACC1186,CUST1186,business,54073.32,TXN10186,1322.17,credit,2024-07-05,B001
ACC1187,CUST1187,savings,22985.71,TXN10187,3271.52,debit,2024-07-06,B003
ACC1188,CUST1188,business,76415.92,TXN10188,3928.46,withdrawal,2024-07-07,B004
ACC1189,CUST1189,business,98132.96,TXN10189,3345.92,withdrawal,2024-07-08,B002
ACC1190,CUST1190,business,70171.09,TXN10190,2653.19,withdrawal,2024-07-09,B002
ACC1191,CUST1191,savings,26196.55,TXN10191,3814.66,credit,2024-07-10,B002
ACC1192,CUST1192,savings,96551.61,TXN10192,1008.57,withdrawal,2024-07-11,B004
ACC1193,CUST1193,savings,84235.07,TXN10193,3676.42,transfer,2024-07-12,B001
ACC1194,CUST1194,checking,16322.91,TXN10194,4391.47,deposit,2024-07-13,B003
ACC1195,CUST1195,checking,30893.96,TXN10195,158.04,withdrawal,2024-07-14,B001
ACC1196,CUST1196,savings,29428.21,TXN10196,158.77,credit,2024-07-15,B004
ACC1197,CUST1197,savings,28843.02,TXN10197,2326.68,credit,2024-07-16,B002
ACC1198,CUST1198,checking,60602.21,TXN10198,2459.36,credit,2024-07-17,B001
ACC1199,CUST1199,savings,43258.46,TXN10199,1078.54,withdrawal,2024-07-18,B001
