beneficiary_id,name,location,program_id,program_name,donation_amount,donor_id,donor_name,date,status
BEN1051,Beneficiary_51,Highland,PGM1,Livelihood,3774.0,DON101,Donor_1,2024-02-21,dropped
BEN1052,Beneficiary_52,Highland,PGM2,Health,1815.06,DON102,Donor_2,2024-02-22,active
BEN1053,Beneficiary_53,Highland,PGM3,WASH,370.39,DON103,Donor_3,2024-02-23,graduated
BEN1054,Beneficiary_54,Urban,PGM4,WASH,37.32,DON104,Donor_4,2024-02-24,graduated
BEN1055,Beneficiary_55,Coastal,PGM0,Livelihood,675.69,DON105,Donor_5,2024-02-25,active
BEN1056,Beneficiary_56,Highland,PGM1,Protection,4094.35,DON106,Donor_6,2024-02-26,graduated
BEN1057,Beneficiary_57,Coastal,PGM2,WASH,639.77,DON107,Donor_7,2024-02-27,graduated
BEN1058,Beneficiary_58,Coastal,PGM3,Livelihood,1735.12,DON108,Donor_8,2024-02-28,active
BEN1059,Beneficiary_59,Coastal,PGM4,Protection,2183.15,DON109,Donor_9,2024-02-29,graduated
BEN1060,Beneficiary_60,Coastal,PGM0,Protection,1399.8,DON110,Donor_10,2024-03-01,graduated
BEN1061,Beneficiary_61,Coastal,PGM1,Health,209.35,DON111,Donor_11,2024-03-02,graduated
BEN1062,Beneficiary_62,Coastal,PGM2,Protection,2058.22,DON112,Donor_12,2024-03-03,active
BEN1063,Beneficiary_63,Rural,PGM3,Education,367.12,DON113,Donor_13,2024-03-04,dropped
BEN1064,Beneficiary_64,Rural,PGM4,Livelihood,1906.99,DON114,Donor_14,2024-03-05,graduated
BEN1065,Beneficiary_65,Rural,PGM0,Education,165.46,DON115,Donor_15,2024-03-06,graduated
BEN1066,Beneficiary_66,Rural,PGM1,WASH,1275.21,DON116,Donor_16,2024-03-07,active
BEN1067,Beneficiary_67,Highland,PGM2,Protection,2320.24,DON117,Donor_17,2024-03-08,active
BEN1068,Beneficiary_68,Highland,PGM3,Protection,3616.84,DON118,Donor_18,2024-03-09,active
BEN1069,Beneficiary_69,Highland,PGM4,WASH,2564.55,DON119,Donor_19,2024-03-10,active
BEN1070,Beneficiary_70,Urban,PGM0,Education,654.86,DON120,Donor_20,2024-03-11,graduated
BEN1071,Beneficiary_71,Highland,PGM1,Livelihood,3135.51,DON121,Donor_21,2024-03-12,active
BEN1072,Beneficiary_72,Urban,PGM2,Health,1244.83,DON122,Donor_22,2024-03-13,graduated
BEN1073,Beneficiary_73,Coastal,PGM3,Livelihood,2120.34,DON123,Donor_23,2024-03-14,dropped
BEN1074,Beneficiary_74,Rural,PGM4,Livelihood,2958.3,DON124,Donor_24,2024-03-15,active
BEN1075,Beneficiary_75,Rural,PGM0,Livelihood,306.93,DON125,Donor_25,2024-03-16,dropped
BEN1076,Beneficiary_76,Coastal,PGM1,Education,1444.87,DON126,Donor_26,2024-03-17,graduated
BEN1077,Beneficiary_77,Coastal,PGM2,Livelihood,2176.34,DON127,Donor_27,2024-03-18,active
BEN1078,Beneficiary_78,Highland,PGM3,WASH,3092.76,DON128,Donor_28,2024-03-19,graduated
BEN1079,Beneficiary_79,Highland,PGM4,WASH,3354.43,DON129,Donor_29,2024-03-20,graduated
BEN1080,Beneficiary_80,Coastal,PGM0,Protection,1673.39,DON130,Donor_30,2024-03-21,graduated
BEN1081,Beneficiary_81,Highland,PGM1,WASH,4244.78,DON131,Donor_31,2024-03-22,dropped
BEN1082,Beneficiary_82,Urban,PGM2,Protection,4778.12,DON132,Donor_32,2024-03-23,graduated
BEN1083,Beneficiary_83,Highland,PGM3,Protection,2415.86,DON133,Donor_33,2024-03-24,dropped
BEN1084,Beneficiary_84,Urban,PGM4,WASH,4213.55,DON134,Donor_34,2024-03-25,active
BEN1085,Beneficiary_85,Urban,PGM0,WASH,4616.96,DON135,Donor_35,2024-03-26,graduated
BEN1086,Beneficiary_86,Urban,PGM1,Protection,4899.03,DON136,Donor_36,2024-03-27,active
BEN1087,Beneficiary_87,Coastal,PGM2,WASH,4180.3,DON137,Donor_37,2024-03-28,graduated
BEN1088,Beneficiary_88,Urban,PGM3,WASH,4013.5,DON138,Donor_38,2024-03-29,active
BEN1089,Beneficiary_89,Urban,PGM4,Protection,4899.13,DON139,Donor_39,2024-03-30,dropped
BEN1090,Beneficiary_90,Highland,PGM0,Education,2131.27,DON140,Donor_40,2024-03-31,dropped
BEN1091,Beneficiary_91,Urban,PGM1,Protection,2278.67,DON141,Donor_41,2024-04-01,dropped
BEN1092,Beneficiary_92,Urban,PGM2,Health,1341.1,DON142,Donor_42,2024-04-02,dropped
BEN1093,Beneficiary_93,Urban,PGM3,Protection,3914.38,DON143,Donor_43,2024-04-03,active
BEN1094,Beneficiary_94,Rural,PGM4,Health,2151.12,DON144,Donor_44,2024-04-04,active
BEN1095,Beneficiary_95,Highland,PGM0,Education,513.61,DON145,Donor_45,2024-04-05,graduated
BEN1096,Beneficiary_96,Urban,PGM1,Health,4247.34,DON146,Donor_46,2024-04-06,dropped
BEN1097,Beneficiary_97,Rural,PGM2,WASH,3848.16,DON147,Donor_47,2024-04-07,dropped
BEN1098,Beneficiary_98,Rural,PGM3,Health,3782.79,DON148,Donor_48,2024-04-08,active
BEN1099,Beneficiary_99,Urban,PGM4,Livelihood,4011.93,DON149,Donor_49,2024-04-09,active
BEN1100,Beneficiary_100,Coastal,PGM0,Protection,2542.34,DON100,Donor_0,2024-04-10,dropped
BEN1101,Beneficiary_101,Highland,PGM1,Protection,2490.37,DON101,Donor_1,2024-04-11,active
BEN1102,Beneficiary_102,Coastal,PGM2,Health,3568.46,DON102,Donor_2,2024-04-12,active
BEN1103,Beneficiary_103,Rural,PGM3,Protection,1899.02,DON103,Donor_3,2024-04-13,graduated
BEN1104,Beneficiary_104,Urban,PGM4,Protection,2446.73,DON104,Donor_4,2024-04-14,active
BEN1105,Beneficiary_105,Coastal,PGM0,Health,630.58,DON105,Donor_5,2024-04-15,graduated
BEN1106,Beneficiary_106,Urban,PGM1,Livelihood,1348.25,DON106,Donor_6,2024-04-16,graduated
BEN1107,Beneficiary_107,Coastal,PGM2,Protection,2221.28,DON107,Donor_7,2024-04-17,dropped
BEN1108,Beneficiary_108,Highland,PGM3,Health,1247.01,DON108,Donor_8,2024-04-18,active
BEN1109,Beneficiary_109,Coastal,PGM4,Health,1800.78,DON109,Donor_9,2024-04-19,graduated
BEN1110,Beneficiary_110,Urban,PGM0,Education,1884.9,DON110,Donor_10,2024-04-20,active
BEN1111,Beneficiary_111,Coastal,PGM1,WASH,4944.45,DON111,Donor_11,2024-04-21,active
BEN1112,Beneficiary_112,Urban,PGM2,Livelihood,933.31,DON112,Donor_12,2024-04-22,active
BEN1113,Beneficiary_113,Rural,PGM3,Livelihood,1177.55,DON113,Donor_13,2024-04-23,graduated
BEN1114,Beneficiary_114,Rural,PGM4,Protection,4999.64,DON114,Donor_14,2024-04-24,active
BEN1115,Beneficiary_115,Rural,PGM0,WASH,1948.96,DON115,Donor_15,2024-04-25,graduated
BEN1116,Beneficiary_116,Rural,PGM1,Education,4855.71,DON116,Donor_16,2024-04-26,active
BEN1117,Beneficiary_117,Urban,PGM2,Livelihood,4108.75,DON117,Donor_17,2024-04-27,active
BEN1118,Beneficiary_118,Urban,PGM3,Health,2755.06,DON118,Donor_18,2024-04-28,graduated
BEN1119,Beneficiary_119,Highland,PGM4,Livelihood,4144.77,DON119,Donor_19,2024-04-29,dropped
BEN1120,Beneficiary_120,Urban,PGM0,Health,3702.46,DON120,Donor_20,2024-04-30,active
BEN1121,Beneficiary_121,Rural,PGM1,Livelihood,2843.07,DON121,Donor_21,2024-05-01,active
BEN1122,Beneficiary_122,Rural,PGM2,Protection,1909.27,DON122,Donor_22,2024-05-02,active
BEN1123,Beneficiary_123,Rural,PGM3,Livelihood,4520.63,DON123,Donor_23,2024-05-03,dropped
BEN1124,Beneficiary_124,Coastal,PGM4,Education,4520.83,DON124,Donor_24,2024-05-04,dropped
BEN1125,Beneficiary_125,Rural,PGM0,Health,2679.39,DON125,Donor_25,2024-05-05,dropped
BEN1126,Beneficiary_126,Coastal,PGM1,Livelihood,3414.26,DON126,Donor_26,2024-05-06,graduated
BEN1127,Beneficiary_127,Highland,PGM2,Health,4048.84,DON127,Donor_27,2024-05-07,graduated
BEN1128,Beneficiary_128,Coastal,PGM3,Livelihood,2081.83,DON128,Donor_28,2024-05-08,active
BEN1129,Beneficiary_129,Highland,PGM4,Health,3869.49,DON129,Donor_29,2024-05-09,active
BEN1130,Beneficiary_130,Highland,PGM0,WASH,259.15,DON130,Donor_30,2024-05-10,active
BEN1131,Beneficiary_131,Rural,PGM1,WASH,1759.92,DON131,Donor_31,2024-05-11,dropped
BEN1132,Beneficiary_132,Coastal,PGM2,WASH,264.71,DON132,Donor_32,2024-05-12,active
BEN1133,Beneficiary_133,Urban,PGM3,Education,78.93,DON133,Donor_33,2024-05-13,dropped
BEN1134,Beneficiary_134,Coastal,PGM4,WASH,4920.84,DON134,Donor_34,2024-05-14,dropped
BEN1135,Beneficiary_135,Highland,PGM0,WASH,2800.78,DON135,Donor_35,2024-05-15,active
BEN1136,Beneficiary_136,Rural,PGM1,Education,4490.78,DON136,Donor_36,2024-05-16,graduated
BEN1137,Beneficiary_137,Coastal,PGM2,Education,4523.96,DON137,Donor_37,2024-05-17,active
BEN1138,Beneficiary_138,Urban,PGM3,Education,1669.0,DON138,Donor_38,2024-05-18,dropped
BEN1139,Beneficiary_139,Rural,PGM4,Education,3469.19,DON139,Donor_39,2024-05-19,active
BEN1140,Beneficiary_140,Urban,PGM0,Livelihood,3757.37,DON140,Donor_40,2024-05-20,dropped
BEN1141,Beneficiary_141,Highland,PGM1,Protection,3636.68,DON141,Donor_41,2024-05-21,dropped
BEN1142,Beneficiary_142,Coastal,PGM2,WASH,1156.97,DON142,Donor_42,2024-05-22,graduated
BEN1143,Beneficiary_143,Urban,PGM3,Education,4873.64,DON143,Donor_43,2024-05-23,active
BEN1144,Beneficiary_144,Coastal,PGM4,WASH,3743.25,DON144,Donor_44,2024-05-24,dropped
BEN1145,Beneficiary_145,Rural,PGM0,WASH,2089.18,DON145,Donor_45,2024-05-25,graduated
BEN1146,Beneficiary_146,Urban,PGM1,Education,4797.56,DON146,Donor_46,2024-05-26,active
BEN1147,Beneficiary_147,Coastal,PGM2,Education,1382.88,DON147,Donor_47,2024-05-27,active
BEN1148,Beneficiary_148,Coastal,PGM3,Livelihood,2475.54,DON148,Donor_48,2024-05-28,graduated
BEN1149,Beneficiary_149,Coastal,PGM4,Health,2254.48,DON149,Donor_49,2024-05-29,dropped
BEN1150,Beneficiary_150,Urban,PGM0,Livelihood,2565.97,DON100,Donor_0,2024-05-30,graduated
BEN1151,Beneficiary_151,Rural,PGM1,Livelihood,4934.57,DON101,Donor_1,2024-05-31,graduated
BEN1152,Beneficiary_152,Rural,PGM2,Health,2554.84,DON102,Donor_2,2024-06-01,dropped
BEN1153,Beneficiary_153,Urban,PGM3,WASH,227.9,DON103,Donor_3,2024-06-02,dropped
BEN1154,Beneficiary_154,Highland,PGM4,WASH,2016.31,DON104,Donor_4,2024-06-03,graduated
BEN1155,Beneficiary_155,Urban,PGM0,Education,2747.54,DON105,Donor_5,2024-06-04,graduated
BEN1156,Beneficiary_156,Highland,PGM1,Education,678.84,DON106,Donor_6,2024-06-05,active
BEN1157,Beneficiary_157,Urban,PGM2,Health,1491.53,DON107,Donor_7,2024-06-06,dropped
BEN1158,Beneficiary_158,Coastal,PGM3,WASH,3073.61,DON108,Donor_8,2024-06-07,dropped
BEN1159,Beneficiary_159,Highland,PGM4,Education,2244.99,DON109,Donor_9,2024-06-08,dropped
BEN1160,Beneficiary_160,Coastal,PGM0,Protection,2836.97,DON110,Donor_10,2024-06-09,dropped
BEN1161,Beneficiary_161,Coastal,PGM1,Education,3338.17,DON111,Donor_11,2024-06-10,dropped
BEN1162,Beneficiary_162,Urban,PGM2,Protection,2742.77,DON112,Donor_12,2024-06-11,active
BEN1163,Beneficiary_163,Coastal,PGM3,Education,1694.38,DON113,Donor_13,2024-06-12,graduated
BEN1164,Beneficiary_164,Coastal,PGM4,Education,2157.04,DON114,Donor_14,2024-06-13,dropped
BEN1165,Beneficiary_165,Rural,PGM0,Education,1397.92,DON115,Donor_15,2024-06-14,graduated
BEN1166,Beneficiary_166,Coastal,PGM1,Protection,1200.42,DON116,Donor_16,2024-06-15,active
BEN1167,Beneficiary_167,Urban,PGM2,Education,1622.84,DON117,Donor_17,2024-06-16,dropped
BEN1168,Beneficiary_168,Rural,PGM3,Protection,2082.33,DON118,Donor_18,2024-06-17,active
BEN1169,Beneficiary_169,Highland,PGM4,Education,400.33,DON119,Donor_19,2024-06-18,graduated
BEN1170,Beneficiary_170,Urban,PGM0,WASH,2921.75,DON120,Donor_20,2024-06-19,graduated
BEN1171,Beneficiary_171,Rural,PGM1,Protection,3711.77,DON121,Donor_21,2024-06-20,active
BEN1172,Beneficiary_172,Rural,PGM2,WASH,2456.82,DON122,Donor_22,2024-06-21,dropped
BEN1173,Beneficiary_173,Highland,PGM3,Education,4837.17,DON123,Donor_23,2024-06-22,graduated
BEN1174,Beneficiary_174,Rural,PGM4,Health,184.92,DON124,Donor_24,2024-06-23,active
BEN1175,Beneficiary_175,Coastal,PGM0,Livelihood,638.36,DON125,Donor_25,2024-06-24,dropped
BEN1176,Beneficiary_176,Rural,PGM1,Education,384.98,DON126,Donor_26,2024-06-25,dropped
BEN1177,Beneficiary_177,Coastal,PGM2,WASH,3586.84,DON127,Donor_27,2024-06-26,dropped
BEN1178,Beneficiary_178,Urban,PGM3,Livelihood,687.58,DON128,Donor_28,2024-06-27,active
BEN1179,Beneficiary_179,Highland,PGM4,Health,835.19,DON129,Donor_29,2024-06-28,graduated
BEN1180,Beneficiary_180,Urban,PGM0,WASH,1613.55,DON130,Donor_30,2024-06-29,active
BEN1181,Beneficiary_181,Rural,PGM1,Health,1675.79,DON131,Donor_31,2024-06-30,graduated
BEN1182,Beneficiary_182,Urban,PGM2,Livelihood,339.5,DON132,Donor_32,2024-07-01,graduated
BEN1183,Beneficiary_183,Rural,PGM3,Protection,2966.92,DON133,Donor_33,2024-07-02,graduated
BEN1184,Beneficiary_184,Urban,PGM4,Health,4147.34,DON134,Donor_34,2024-07-03,graduated
BEN1185,Beneficiary_185,Urban,PGM0,Education,3337.8,DON135,Donor_35,2024-07-04,dropped
BEN1186,Beneficiary_186,Coastal,PGM1,WASH,315.24,DON136,Donor_36,2024-07-05,dropped
BEN1187,Beneficiary_187,Urban,PGM2,Protection,2466.5,DON137,Donor_37,2024-07-06,graduated
BEN1188,Beneficiary_188,Rural,PGM3,Protection,3687.52,DON138,Donor_38,2024-07-07,dropped
BEN1189,Beneficiary_189,Urban,PGM4,WASH,1866.75,DON139,Donor_39,2024-07-08,dropped
BEN1190,Beneficiary_190,Coastal,PGM0,Education,2162.57,DON140,Donor_40,2024-07-09,graduated
BEN1191,Beneficiary_191,Coastal,PGM1,Education,2516.99,DON141,Donor_41,2024-07-10,dropped
BEN1192,Beneficiary_192,Highland,PGM2,WASH,1943.46,DON142,Donor_42,2024-07-11,active
BEN1193,Beneficiary_193,Rural,PGM3,Health,2963.03,DON143,Donor_43,2024-07-12,graduated
BEN1194,Beneficiary_194,Rural,PGM4,Education,2465.41,DON144,Donor_44,2024-07-13,graduated
BEN1195,Beneficiary_195,Coastal,PGM0,Health,2920.2,DON145,Donor_45,2024-07-14,dropped
BEN1196,Beneficiary_196,Coastal,PGM1,Protection,4257.37,DON146,Donor_46,2024-07-15,dropped
BEN1197,Beneficiary_197,Coastal,PGM2,WASH,4083.06,DON147,Donor_47,2024-07-16,graduated
BEN1198,Beneficiary_198,Urban,PGM3,Health,1729.83,DON148,Donor_48,2024-07-17,dropped
BEN1199,Beneficiary_199,Rural,PGM4,WASH,4419.38,DON149,Donor_49,2024-07-18,dropped
