member_id,member_name,join_date,branch,ministry,offering_amount,tithe_amount,visitor_name,visit_date
M1078,Member_78,2024-03-19,South,Worship,343.31,885.2,Newcomer,2024-03-19
M1079,Member_79,2024-03-20,Main,Youth,64.39,812.8,Friend,2024-03-20
M1080,Member_80,2024-03-21,North,Worship,436.99,348.57,,2024-03-21
M1081,Member_81,2024-03-22,East,Outreach,496.85,717.88,Guest,2024-03-22
M1082,Member_82,2024-03-23,South,Men,402.85,242.06,Guest,2024-03-23
M1083,Member_83,2024-03-24,North,Men,112.51,951.88,Newcomer,2024-03-24
M1084,Member_84,2024-03-25,South,Men,378.6,969.05,Friend,2024-03-25
M1085,Member_85,2024-03-26,East,Women,422.86,450.74,Friend,2024-03-26
M1086,Member_86,2024-03-27,Main,Women,61.59,22.16,,2024-03-27
M1087,Member_87,2024-03-28,East,Outreach,307.98,904.85,Newcomer,2024-03-28
M1088,Member_88,2024-03-29,North,Women,72.77,22.89,Friend,2024-03-29
M1089,Member_89,2024-03-30,Main,Women,327.16,148.53,,2024-03-30
M1090,Member_90,2024-03-31,East,Worship,89.41,863.65,,2024-03-31
M1091,Member_91,2024-04-01,East,Outreach,58.99,911.42,Newcomer,2024-04-01
M1092,Member_92,2024-04-02,Main,Women,183.21,859.01,Guest,2024-04-02
M1093,Member_93,2024-04-03,East,Youth,163.81,266.39,Friend,2024-04-03
M1094,Member_94,2024-04-04,South,Worship,302.31,967.15,Newcomer,2024-04-04
M1095,Member_95,2024-04-05,South,Worship,264.51,712.19,Guest,2024-04-05
M1096,Member_96,2024-04-06,North,Women,402.29,290.44,Friend,2024-04-06
M1097,Member_97,2024-04-07,South,Worship,161.55,131.88,,2024-04-07
M1098,Member_98,2024-04-08,South,Outreach,39.04,186.56,Guest,2024-04-08
M1099,Member_99,2024-04-09,North,Women,361.25,71.87,Friend,2024-04-09
M1100,Member_100,2024-04-10,Main,Women,157.04,855.77,,2024-04-10
M1101,Member_101,2024-04-11,South,Worship,234.8,810.9,,2024-04-11
M1102,Member_102,2024-04-12,North,Men,71.86,881.52,Guest,2024-04-12
M1103,Member_103,2024-04-13,North,Outreach,73.41,988.72,Guest,2024-04-13
M1104,Member_104,2024-04-14,East,Youth,209.03,665.45,Friend,2024-04-14
M1105,Member_105,2024-04-15,North,Women,430.75,42.84,,2024-04-15
M1106,Member_106,2024-04-16,Main,Worship,47.76,241.18,Friend,2024-04-16
M1107,Member_107,2024-04-17,South,Youth,242.45,158.24,Newcomer,2024-04-17
M1108,Member_108,2024-04-18,East,Worship,62.63,587.79,,2024-04-18
M1109,Member_109,2024-04-19,North,Men,162.81,482.69,Newcomer,2024-04-19
M1110,Member_110,2024-04-20,East,Men,424.33,933.11,Friend,2024-04-20
M1111,Member_111,2024-04-21,South,Youth,424.69,398.39,Friend,2024-04-21
M1112,Member_112,2024-04-22,Main,Women,132.19,69.84,Friend,2024-04-22
M1113,Member_113,2024-04-23,East,Worship,442.86,33.59,Friend,2024-04-23
M1114,Member_114,2024-04-24,South,Youth,296.33,812.51,Friend,2024-04-24
M1115,Member_115,2024-04-25,North,Worship,277.38,638.87,,2024-04-25
M1116,Member_116,2024-04-26,South,Men,486.59,198.86,,2024-04-26
M1117,Member_117,2024-04-27,Main,Youth,316.21,907.4,Guest,2024-04-27
M1118,Member_118,2024-04-28,North,Outreach,210.79,563.3,Friend,2024-04-28
M1119,Member_119,2024-04-29,North,Outreach,241.77,611.85,Guest,2024-04-29
M1120,Member_120,2024-04-30,Main,Women,488.73,921.41,Friend,2024-04-30
M1121,Member_121,2024-05-01,North,Worship,229.72,60.09,Guest,2024-05-01
M1122,Member_122,2024-05-02,East,Youth,128.02,845.81,Newcomer,2024-05-02
M1123,Member_123,2024-05-03,South,Men,246.61,978.23,Friend,2024-05-03
M1124,Member_124,2024-05-04,South,Men,111.04,284.31,Guest,2024-05-04
M1125,Member_125,2024-05-05,North,Youth,270.69,545.69,Newcomer,2024-05-05
M1126,Member_126,2024-05-06,South,Men,430.33,429.36,Friend,2024-05-06
M1127,Member_127,2024-05-07,South,Youth,30.17,77.84,Friend,2024-05-07
M1128,Member_128,2024-05-08,Main,Youth,99.85,509.31,Newcomer,2024-05-08
M1129,Member_129,2024-05-09,East,Men,373.65,896.62,,2024-05-09
M1130,Member_130,2024-05-10,Main,Youth,95.78,165.32,Newcomer,2024-05-10
M1131,Member_131,2024-05-11,Main,Outreach,106.76,222.13,Newcomer,2024-05-11
M1132,Member_132,2024-05-12,North,Outreach,296.72,551.27,Newcomer,2024-05-12
M1133,Member_133,2024-05-13,East,Youth,249.88,54.17,Friend,2024-05-13
M1134,Member_134,2024-05-14,Main,Worship,20.57,253.51,Newcomer,2024-05-14
M1135,Member_135,2024-05-15,North,Worship,66.94,458.11,Guest,2024-05-15
M1136,Member_136,2024-05-16,East,Outreach,386.68,769.64,Newcomer,2024-05-16
M1137,Member_137,2024-05-17,North,Youth,224.57,288.09,,2024-05-17
M1138,Member_138,2024-05-18,East,Outreach,137.46,170.47,,2024-05-18
M1139,Member_139,2024-05-19,South,Men,136.09,83.4,Guest,2024-05-19
M1140,Member_140,2024-05-20,East,Worship,340.82,852.45,Guest,2024-05-20
M1141,Member_141,2024-05-21,Main,Women,338.8,772.57,,2024-05-21
M1142,Member_142,2024-05-22,North,Worship,354.92,233.85,Friend,2024-05-22
M1143,Member_143,2024-05-23,North,Worship,327.17,407.48,,2024-05-23
M1144,Member_144,2024-05-24,North,Men,242.03,429.6,,2024-05-24
M1145,Member_145,2024-05-25,North,Youth,206.53,782.46,,2024-05-25
M1146,Member_146,2024-05-26,North,Women,138.9,365.64,Guest,2024-05-26
M1147,Member_147,2024-05-27,South,Outreach,115.26,225.06,Guest,2024-05-27
M1148,Member_148,2024-05-28,North,Men,454.28,926.03,Newcomer,2024-05-28
M1149,Member_149,2024-05-29,Main,Worship,23.29,521.16,,2024-05-29
M1150,Member_150,2024-05-30,Main,Worship,343.35,504.13,,2024-05-30
M1151,Member_151,2024-05-31,Main,Outreach,117.06,757.57,Friend,2024-05-31
M1152,Member_152,2024-06-01,Main,Outreach,232.98,462.07,Guest,2024-06-01
M1153,Member_153,2024-06-02,Main,Men,472.97,706.81,Friend,2024-06-02
M1154,Member_154,2024-06-03,North,Worship,479.52,190.5,Newcomer,2024-06-03
M1155,Member_155,2024-06-04,East,Women,127.62,317.43,Guest,2024-06-04
M1156,Member_156,2024-06-05,East,Men,28.36,479.44,,2024-06-05
M1157,Member_157,2024-06-06,South,Worship,485.64,638.1,,2024-06-06
M1158,Member_158,2024-06-07,Main,Outreach,336.25,691.42,,2024-06-07
M1159,Member_159,2024-06-08,East,Men,415.92,90.73,,2024-06-08
M1160,Member_160,2024-06-09,Main,Worship,415.76,120.88,Friend,2024-06-09
M1161,Member_161,2024-06-10,South,Youth,226.74,927.87,Friend,2024-06-10
M1162,Member_162,2024-06-11,Main,Youth,303.82,838.02,Friend,2024-06-11
M1163,Member_163,2024-06-12,Main,Youth,114.73,129.53,Guest,2024-06-12
M1164,Member_164,2024-06-13,North,Outreach,125.22,293.86,Friend,2024-06-13
M1165,Member_165,2024-06-14,South,Women,263.61,197.15,Guest,2024-06-14
M1166,Member_166,2024-06-15,South,Women,437.28,602.79,Guest,2024-06-15
M1167,Member_167,2024-06-16,South,Worship,200.28,288.49,Friend,2024-06-16
M1168,Member_168,2024-06-17,Main,Women,158.21,564.38,Friend,2024-06-17
M1169,Member_169,2024-06-18,East,Outreach,243.05,95.25,Guest,2024-06-18
M1170,Member_170,2024-06-19,East,Men,61.95,37.71,Newcomer,2024-06-19
M1171,Member_171,2024-06-20,Main,Youth,266.19,220.58,Friend,2024-06-20
M1172,Member_172,2024-06-21,East,Worship,357.79,488.19,Friend,2024-06-21
M1173,Member_173,2024-06-22,Main,Men,239.82,668.74,Friend,2024-06-22
M1174,Member_174,2024-06-23,Main,Worship,396.69,785.8,,2024-06-23
M1175,Member_175,2024-06-24,East,Worship,105.9,346.3,Guest,2024-06-24
M1176,Member_176,2024-06-25,East,Outreach,370.33,413.92,Newcomer,2024-06-25
M1177,Member_177,2024-06-26,North,Outreach,413.1,616.91,Friend,2024-06-26
M1178,Member_178,2024-06-27,North,Women,362.34,948.16,,2024-06-27
M1179,Member_179,2024-06-28,North,Outreach,378.38,14.72,Friend,2024-06-28
M1180,Member_180,2024-06-29,East,Outreach,418.12,334.92,Guest,2024-06-29
M1181,Member_181,2024-06-30,South,Men,28.56,728.79,Newcomer,2024-06-30
M1182,Member_182,2024-07-01,South,Worship,234.88,910.42,,2024-07-01
M1183,Member_183,2024-07-02,Main,Youth,290.96,879.34,Guest,2024-07-02
M1184,Member_184,2024-07-03,Main,Outreach,187.5,377.8,,2024-07-03
M1185,Member_185,2024-07-04,North,Youth,222.13,40.72,Guest,2024-07-04
M1186,Member_186,2024-07-05,South,Women,469.44,11.27,Guest,2024-07-05
M1187,Member_187,2024-07-06,East,Worship,19.31,164.18,Friend,2024-07-06
M1188,Member_188,2024-07-07,South,Youth,496.43,35.9,Guest,2024-07-07
M1189,Member_189,2024-07-08,South,Men,441.69,25.06,Friend,2024-07-08
M1190,Member_190,2024-07-09,Main,Worship,83.26,182.16,Guest,2024-07-09
M1191,Member_191,2024-07-10,East,Youth,235.47,426.2,Newcomer,2024-07-10
M1192,Member_192,2024-07-11,North,Youth,412.17,554.95,,2024-07-11
M1193,Member_193,2024-07-12,East,Outreach,173.64,884.92,Guest,2024-07-12
M1194,Member_194,2024-07-13,South,Outreach,284.57,479.25,,2024-07-13
M1195,Member_195,2024-07-14,North,Worship,195.76,689.96,,2024-07-14
M1196,Member_196,2024-07-15,South,Youth,461.21,803.22,,2024-07-15
M1197,Member_197,2024-07-16,East,Outreach,202.46,329.94,Guest,2024-07-16
M1198,Member_198,2024-07-17,Main,Outreach,227.54,724.24,Guest,2024-07-17
M1199,Member_199,2024-07-18,South,Women,219.15,695.27,Guest,2024-07-18
